Series Name,"Series Code","Country Name","Country Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Afghanistan","AFG","2.17853752389414","11.8041858089129","6.44121280934117","7.38577178397855","4.67399603536305","-0.66170916471352","4.38389195513893","4.97595150553892","0.626149149168983","2.30237251516819"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Albania","ALB","3.62604695579816","3.42912324722163","2.03159268395301","1.93762080205229","1.6258650440261","1.89617402592365","1.2754316836741","1.98666133171199","2.02805963071136","1.41109078954246"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Algeria","DZA","3.91106195534028","4.5242115050527","8.89145091062317","3.25423910998847","2.91692692067458","4.78444700693889","6.39769480268757","5.59111590961664","4.26999020467084","1.95176821052892"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","American Samoa","ASM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Andorra","AND","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Angola","AGO","14.4696564932577","13.4824679218511","10.2779049218839","8.77781429332624","7.28038730361121","9.35597215533784","30.6944150806719","29.8444799015679","19.6289379701521","17.080954143438"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Antigua and Barbuda","ATG","3.37002540220148","3.4567496723461","3.37688044338874","1.05949782356169","1.08944157435355","0.968993458825638","-0.489437796230499","2.43248789041363","1.20715793367008","1.43135598182984"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Argentina","ARG","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Armenia","ARM","8.17636138473952","7.65000807859294","2.55802007757907","5.78966778544651","2.98130868933672","3.73169119261693","-1.403607559009","0.969553268816138","2.52023382001638","1.44344660770698"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Aruba","ABW","2.07814071860787","4.31629742195203","0.627471992893373","-2.37206524252261","0.421440918881214","0.474763597342641","-0.931195987079561","-1.02828178762012","3.62604141352961","4.25746204335428"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Australia","AUS","2.91834002677376","3.3038501560874","1.76278015613196","2.4498886414254","2.48792270531404","1.50836672165921","1.27699094497324","1.94864740944527","1.91140094445691","1.61076787290379"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Austria","AUT","1.81353438995062","3.2865791487538","2.48567562177015","2.00015616900597","1.60581182954474","0.89656333526032","0.891591752655362","2.08126911385587","1.9983798142954","1.53089564152644"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Azerbaijan","AZE","5.72687224669605","7.8583333333334","1.06621339720303","2.41571745279419","1.37344181533176","4.02768573742726","12.4433748584372","12.9359184187335","2.26854690373999","2.61057182799215"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Bahamas, The","BHS","1.34402738392836","3.1987814166032","1.97336755976254","0.722414784530551","1.51375643050831","1.86148302863371","-0.346376929989397","1.51820700736147","2.26586346678736","2.49123527368046"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Bahrain","BHR","1.96188468334623","-0.40004069748808","2.75739669962979","3.30001156888442","2.64755321246189","1.84862742374977","2.78679347602044","1.38671830576406","2.08766938046978","1.00582004702137"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Bangladesh","BGD","8.12667639169917","11.3951651552399","6.21750422069284","7.53040640913172","6.99163889220849","6.19428022984984","5.51352572692995","5.70207015717239","5.54362139486476","5.59199639930629"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Barbados","BRB","5.82421853311866","9.43220240177221","4.53334753888766","1.81410436049105","1.76950322089729","-1.11278992510967","1.28192813061895","4.66018463955996","3.67381410406801","4.10028964518461"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Belarus","BLR","7.73574804312508","53.2286983118173","59.2197360232517","18.3122610377874","18.1195543526734","13.5344897649735","11.8365807653497","6.03183725177793","4.87230220550684","5.59815595039854"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Belgium","BEL","2.18929920422457","3.53208210722742","2.83966343445899","1.1130959402754","0.340002833356922","0.561429152790065","1.97385264653181","2.12597086002607","2.05316499865186","1.43681956996429"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Belize","BLZ","0.917977378808888","1.602056156402","1.30058074547858","0.50974776898322","1.20139964481058","-0.861584009427748","0.663427167917601","1.14765339305816","0.269982622646335","0.187069385181424"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Benin","BEN","2.20783532536523","2.7042390774728","6.74468253340712","0.428888888888792","-0.548757550948091","0.218785923536154","-0.793310145785534","0.0432648555103608","0.919170717886054","0.732849371240975"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Bermuda","BMU","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Bhutan","BTN","7.0363831607302","8.848985699468","10.919656944683","8.77638345268213","8.27106093949328","4.54814395082205","3.21988689395718","4.95508366985129","2.7239638618372","2.7264303738882"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Bolivia","BOL","2.50327605844241","9.88446419823883","4.51560291399376","5.73640023719607","5.76660074579144","4.05961041135645","3.62321431764138","2.8227580554717","2.27205987230155","1.83954504969026"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Bosnia and Herzegovina","BIH","1.99621236745886","3.67125","2.05267452001727","NA","NA","NA","NA","NA","NA","NA"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Botswana","BWA","6.94887658743103","8.45987233408583","7.53690261091916","5.88460707056817","4.40225309243427","3.06203169580558","2.81495791361944","3.30828076768219","3.23801558947715","2.77286442863321"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Brazil","BRA","5.03872690108075","6.6364496221309","5.40349914036997","6.20431066640101","6.32904015516139","9.02990102416136","8.73914352329393","3.44637335032669","3.66485028376729","3.73297621216894"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","British Virgin Islands","VGB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Brunei Darussalam","BRN","0.356869132017561","0.13791156316954","0.111766261400307","0.389205053123632","-0.207108731719822","-0.488347420743522","-0.278693265753083","-1.2605056462896","1.02505179290212","-0.390522069165529"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Bulgaria","BGR","2.43899060504113","4.21990346601873","2.95456829831022","0.890093540913002","-1.4181838026484","-0.104633261008385","-0.79864988645371","2.06159619443141","2.81454473824829","3.10372944796781"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Burkina Faso","BFA","-0.764230734676758","2.75976724854523","3.818152402524","0.533738507090536","-0.258089517535384","0.724838981070517","0.441041448058902","1.48299897161325","1.95594302672523","-3.2333893398333"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Burundi","BDI","6.49326591473993","9.5921660597967","18.1610453065451","7.93795807492418","4.40535234185293","5.54468891259779","5.55768961400965","16.0525353030392","-2.81469807668465","-0.686772170797359"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Cabo Verde","CPV","2.07866470906424","4.47388342165023","2.54039644167109","1.50654285701407","-0.238778144990624","0.131187999024545","-1.40781637091706","0.784415251101334","1.25699566690509","1.10666674296063"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Cambodia","KHM","3.99639528107218","5.4784474961745","2.93431609293951","2.94162509547349","3.85568861424207","1.22393195511119","3.01913975139128","2.91263557371478","2.45908515380146","1.94257500833107"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Cameroon","CMR","1.27538046242338","2.93969946305091","2.73529677529539","2.05034718001741","1.85489850366777","2.676235314199","0.874190383288856","0.64040914988195","1.0688581131292","2.45280214062732"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Canada","CAN","1.77687154092627","2.91213508872351","1.51567823124517","0.938291897815317","1.90663590717861","1.12524136094277","1.42875954701085","1.59688412852977","2.26822567248103","1.94926902411593"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Cayman Islands","CYM","0.276140861750108","1.32543575779664","1.18894845245608","2.16061146813391","1.27397911533388","-2.34752770165615","-0.62525835861814","NA","NA","NA"
